[   0s] family A start. clear bonus 4, pop 24, elite 5, sig0 0.045, sigMin 0.018, seed 1000, budget 2350s
[   0s] grid: rise offsets -10/0/10 mm x plants 0.12/x1 0.13/x0.7 0.125/x1.3
[   5s] baseline best_r2_vault_40mm.json: k=1/9 obj=9.647 meanR=5.647 | rise[-10:0/3 +0:1/3 +10:0/3] plant[d0.120/f1.0:1/3 d0.130/f0.7:0/3 d0.125/f1.3:0/3]
[1597s] 70mm gen3: full=0 eliteObj 13.48 s8.7 s8.4 s8.2 s8.2 | best k=2/9 obj=13.478 | evals=2283 fullEvals=122
[1615s] 70mm gen4: full=0 eliteObj 13.48 s10.9 s7.7 s7.6 s7.6 | best k=2/9 obj=13.478 | evals=2307 fullEvals=122
[1637s] 70mm gen5: full=0 eliteObj 13.48 s8.5 s8.2 s8.0 s7.8 | best k=2/9 obj=13.478 | evals=2331 fullEvals=122
[1661s] 70mm gen6: full=0 eliteObj 13.48 s11.4 s8.2 s7.7 s7.6 | best k=2/9 obj=13.478 | evals=2355 fullEvals=122
[1678s] 70mm gen7: full=0 eliteObj 13.48 s8.5 s7.8 s7.6 s7.5 | best k=2/9 obj=13.478 | evals=2379 fullEvals=122
[1698s] 70mm gen8: full=0 eliteObj 13.48 s8.1 s7.8 s7.8 s7.6 | best k=2/9 obj=13.478 | evals=2403 fullEvals=122
[1717s] 70mm gen9: full=0 eliteObj 13.48 s10.1 s7.7 s7.6 s7.6 | best k=2/9 obj=13.478 | evals=2427 fullEvals=122
[1736s] 70mm gen10: full=0 eliteObj 13.48 s8.2 s8.0 s7.8 s7.5 | best k=2/9 obj=13.478 | evals=2451 fullEvals=122
[1753s] 70mm gen11: full=0 eliteObj 13.48 s11.3 s11.3 s8.7 s7.7 | best k=2/9 obj=13.478 | evals=2475 fullEvals=122
[1764s] 70mm gen12: full=0 eliteObj 13.48 s8.9 s8.5 s8.3 s7.9 | best k=2/9 obj=13.478 | evals=2499 fullEvals=122
[1781s] 70mm gen13: full=0 eliteObj 13.48 s10.3 s9.7 s9.1 s7.8 | best k=2/9 obj=13.478 | evals=2523 fullEvals=122
[1797s] 70mm gen14: full=0 eliteObj 13.48 s8.8 s8.0 s7.9 s7.7 | best k=2/9 obj=13.478 | evals=2547 fullEvals=122
[1823s] 70mm gen15: full=1 eliteObj 13.48 8.92 s8.9 s8.2 s7.8 | best k=2/9 obj=13.478 | evals=2571 fullEvals=123
[1845s] 70mm gen16: full=0 eliteObj 13.48 s9.8 s8.4 s8.3 s8.3 | best k=2/9 obj=13.478 | evals=2595 fullEvals=123
[1858s] 70mm gen17: full=0 eliteObj 13.48 s9.2 s9.0 s8.6 s8.5 | best k=2/9 obj=13.478 | evals=2619 fullEvals=123
[1875s] 70mm gen18: full=0 eliteObj 13.48 s9.8 s7.3 s6.5 s6.4 | best k=2/9 obj=13.478 | evals=2643 fullEvals=123
[1892s] 70mm gen19: full=0 eliteObj 13.48 s11.1 s9.6 s8.3 s7.5 | best k=2/9 obj=13.478 | evals=2667 fullEvals=123
[1911s] 70mm gen20: full=0 eliteObj 13.48 s9.3 s9.2 s8.3 s8.2 | best k=2/9 obj=13.478 | evals=2691 fullEvals=123
[1929s] 70mm gen21: full=0 eliteObj 13.48 s8.0 s7.8 s7.7 s7.6 | best k=2/9 obj=13.478 | evals=2715 fullEvals=123
[1948s] 70mm gen22: full=0 eliteObj 13.48 s8.2 s7.8 s7.7 s7.6 | best k=2/9 obj=13.478 | evals=2734 fullEvals=123
[1957s] 80mm warm-start: k=1/9 obj=8.919 meanR=4.919 | rise[-10:1/3 +0:0/3 +10:0/3] plant[d0.120/f1.0:0/3 d0.130/f0.7:0/3 d0.125/f1.3:1/3]
[1977s] 80mm gen1: full=0 eliteObj 8.92 s8.2 s7.8 s7.6 s7.5 | best k=1/9 obj=8.919 | evals=2759 fullEvals=124
[1996s] 80mm gen2: full=0 eliteObj 8.92 s8.1 s7.5 s7.5 s7.4 | best k=1/9 obj=8.919 | evals=2783 fullEvals=124
[2013s] 80mm gen3: full=0 eliteObj 8.92 s7.8 s7.6 s7.5 s7.4 | best k=1/9 obj=8.919 | evals=2807 fullEvals=124
[2028s] 80mm gen4: full=0 eliteObj 8.92 s8.3 s7.4 s7.4 s7.4 | best k=1/9 obj=8.919 | evals=2831 fullEvals=124
[2051s] 80mm gen5: full=0 eliteObj 8.92 s7.4 s6.9 s6.8 s6.8 | best k=1/9 obj=8.919 | evals=2855 fullEvals=124
[2066s] 80mm gen6: full=0 eliteObj 8.92 s9.0 s7.7 s7.5 s7.5 | best k=1/9 obj=8.919 | evals=2879 fullEvals=124
[2081s] 80mm gen7: full=0 eliteObj 8.92 s7.6 s7.3 s6.6 s6.5 | best k=1/9 obj=8.919 | evals=2903 fullEvals=124
[2092s] 80mm gen8: full=0 eliteObj 8.92 s7.6 s7.2 s7.2 s7.1 | best k=1/9 obj=8.919 | evals=2927 fullEvals=124
[2103s] 80mm gen9: full=0 eliteObj 8.92 s7.5 s7.5 s7.1 s7.0 | best k=1/9 obj=8.919 | evals=2951 fullEvals=124
[2117s] 80mm gen10: full=0 eliteObj 8.92 s7.7 s7.5 s7.2 s7.2 | best k=1/9 obj=8.919 | evals=2975 fullEvals=124
[2133s] 80mm gen11: full=0 eliteObj 8.92 s9.0 s8.5 s7.4 s7.0 | best k=1/9 obj=8.919 | evals=2999 fullEvals=124
[2157s] 80mm gen12: full=0 eliteObj 8.92 s10.9 s7.6 s7.3 s7.2 | best k=1/9 obj=8.919 | evals=3023 fullEvals=124
[2177s] 80mm gen13: full=0 eliteObj 8.92 s7.9 s7.9 s7.4 s7.1 | best k=1/9 obj=8.919 | evals=3047 fullEvals=124
[2196s] 80mm gen14: full=0 eliteObj 8.92 s8.5 s8.4 s7.8 s7.6 | best k=1/9 obj=8.919 | evals=3071 fullEvals=124
[2208s] 80mm gen15: full=0 eliteObj 8.92 s10.7 s7.4 s7.2 s6.9 | best k=1/9 obj=8.919 | evals=3095 fullEvals=124
[2219s] 80mm gen16: full=0 eliteObj 8.92 s10.1 s7.6 s7.5 s7.3 | best k=1/9 obj=8.919 | evals=3119 fullEvals=124
[2230s] 80mm gen17: full=0 eliteObj 8.92 s7.8 s7.3 s7.3 s7.1 | best k=1/9 obj=8.919 | evals=3143 fullEvals=124
[2241s] 80mm gen18: full=0 eliteObj 8.92 s7.0 s5.9 s5.3 s5.1 | best k=1/9 obj=8.919 | evals=3167 fullEvals=124
[2251s] 80mm gen19: full=0 eliteObj 8.92 s10.0 s9.9 s7.5 s7.4 | best k=1/9 obj=8.919 | evals=3191 fullEvals=124
[2263s] 80mm gen20: full=0 eliteObj 8.92 s7.9 s7.9 s7.0 s6.7 | best k=1/9 obj=8.919 | evals=3215 fullEvals=124
[2274s] 80mm gen21: full=0 eliteObj 8.92 s7.7 s7.6 s7.6 s7.5 | best k=1/9 obj=8.919 | evals=3239 fullEvals=124
[2285s] 80mm gen22: full=0 eliteObj 8.92 s10.0 s8.3 s7.3 s7.2 | best k=1/9 obj=8.919 | evals=3263 fullEvals=124
[2295s] 80mm gen23: full=0 eliteObj 8.92 s7.7 s7.6 s6.9 s6.8 | best k=1/9 obj=8.919 | evals=3287 fullEvals=124
[2305s] 80mm gen24: full=0 eliteObj 8.92 s7.8 s7.8 s7.6 s7.6 | best k=1/9 obj=8.919 | evals=3311 fullEvals=124
[2316s] 80mm gen25: full=0 eliteObj 8.92 s7.3 s7.3 s7.3 s7.2 | best k=1/9 obj=8.919 | evals=3335 fullEvals=124
[2326s] 80mm gen26: full=0 eliteObj 8.92 s7.9 s7.6 s7.1 s7.1 | best k=1/9 obj=8.919 | evals=3359 fullEvals=124
[2337s] 80mm gen27: full=0 eliteObj 8.92 s9.2 s8.1 s7.3 s7.2 | best k=1/9 obj=8.919 | evals=3383 fullEvals=124
[2349s] 80mm gen28: full=0 eliteObj 8.92 s8.4 s8.2 s7.5 s7.0 | best k=1/9 obj=8.919 | evals=3407 fullEvals=124
[2350s] 80mm gen29: full=0 eliteObj 8.92 s7.3 s7.0 s6.7 s2.5 | best k=1/9 obj=8.919 | evals=3411 fullEvals=124
[2350s] DONE. evals=3411 (full 9-cell 124) wall=2350s
[2350s]   40 mm: cleared 2 of 9, objective 15.4718, rise[-10:1/3 +0:1/3 +10:0/3] plant[d0.120/f1.0:1/3 d0.130/f0.7:0/3 d0.125/f1.3:1/3]
[2350s]   60 mm: cleared 4 of 9, objective 23.7882, rise[-10:2/3 +0:1/3 +10:1/3] plant[d0.120/f1.0:1/3 d0.130/f0.7:1/3 d0.125/f1.3:2/3]
[2350s]   50 mm: cleared 2 of 9, objective 17.0209, rise[-10:2/3 +0:0/3 +10:0/3] plant[d0.120/f1.0:1/3 d0.130/f0.7:0/3 d0.125/f1.3:1/3]
